UserID 78, TagginSession 9, STD 3.08320820567, mean 2.77777777778,
UserID 7881, TagginSession 9, STD 2.28251539824, mean 2.11111111111,
UserID 8030, TagginSession 104, STD 6.45987129362, mean 3.22115384615,
UserID 8041, TagginSession 2, STD 3.5, mean 46.5,
UserID 8409, TagginSession 2, STD 6.5, mean 17.5,
UserID 8621, TagginSession 13, STD 12.778495249, mean 11.6923076923,
UserID 8669, TagginSession 43, STD 11.6563837348, mean 11.4186046512,
UserID 8777, TagginSession 17, STD 2.65554196242, mean 2.35294117647,
UserID 8881, TagginSession 5, STD 2.03960780544, mean 3.2,
UserID 8905, TagginSession 4, STD 2.5860201082, mean 3.75,
UserID 9085, TagginSession 3, STD 25.1042271784, mean 24.6666666667,
UserID 9292, TagginSession 47, STD 52.9871222942, mean 32.3617021277,
UserID 9416, TagginSession 2, STD 3.0, mean 4.0,
UserID 9470, TagginSession 4, STD 3.1124748995, mean 3.75,
UserID 9482, TagginSession 7, STD 4.29997626951, mean 3.71428571429,
UserID 9593, TagginSession 12, STD 9.39377749127, mean 7.41666666667,
UserID 9595, TagginSession 11, STD 9.09817891142, mean 6.63636363636,
UserID 9965, TagginSession 4, STD 5.7608593109, mean 5.25,
UserID 9988, TagginSession 5, STD 11.1821285988, mean 11.4,
UserID 10025, TagginSession 12, STD 10.4109984578, mean 4.66666666667,
UserID 10051, TagginSession 4, STD 10.1734949747, mean 19.0,
UserID 10167, TagginSession 2, STD 4.5, mean 5.5,
UserID 10471, TagginSession 3, STD 7.7888809637, mean 12.0,
UserID 10523, TagginSession 1220, STD 5.36011778521, mean 4.92786885246,
UserID 10652, TagginSession 4, STD 3.03108891325, mean 2.75,
UserID 11104, TagginSession 3, STD 69.9539531089, mean 85.3333333333,
UserID 11258, TagginSession 8, STD 12.8038080273, mean 7.25,
UserID 11338, TagginSession 2, STD 2.5, mean 5.5,
UserID 11569, TagginSession 3, STD 4.7842333648, mean 11.3333333333,
UserID 11608, TagginSession 78, STD 13.5045040822, mean 10.0128205128,
UserID 11728, TagginSession 24, STD 13.6999087588, mean 7.75,
UserID 11825, TagginSession 130, STD 7.70392968195, mean 7.58461538462,
UserID 11937, TagginSession 2, STD 29.5, mean 35.5,
UserID 12040, TagginSession 2, STD 4.5, mean 6.5,
UserID 12051, TagginSession 14, STD 2.0152479971, mean 2.28571428571,
UserID 12259, TagginSession 8, STD 5.7608593109, mean 6.25,
UserID 12272, TagginSession 50, STD 3.22639117281, mean 2.52,
UserID 12283, TagginSession 7, STD 13.4771159029, mean 9.71428571429,
UserID 12434, TagginSession 10, STD 2.93938769134, mean 3.4,
UserID 12950, TagginSession 2, STD 3.0, mean 4.0,
UserID 13005, TagginSession 3, STD 14.8996644258, mean 13.0,
UserID 13056, TagginSession 2, STD 10.5, mean 13.5,
UserID 13151, TagginSession 2, STD 31.5, mean 33.5,
UserID 13397, TagginSession 12, STD 2.60874597375, mean 3.16666666667,
UserID 13436, TagginSession 2, STD 11.0, mean 12.0,
	UserID 13688, TagginSession 5, STD 7.6, mean 4.8,
UserID 13701, TagginSession 2, STD 2.5, mean 7.5,
UserID 13880, TagginSession 3, STD 2.16024689947, mean 6.0,
UserID 14149, TagginSession 3, STD 8.80656320908, mean 9.66666666667,
UserID 14208, TagginSession 17, STD 5.40408662487, mean 6.17647058824,
UserID 14343, TagginSession 3, STD 2.16024689947, mean 3.0,
UserID 14421, TagginSession 8, STD 11.3516243331, mean 13.125,
UserID 14578, TagginSession 10, STD 20.4978047605, mean 15.8,
UserID 14598, TagginSession 19, STD 2.87216076835, mean 2.47368421053,
UserID 14614, TagginSession 5, STD 7.39188744503, mean 8.6,
UserID 14648, TagginSession 27, STD 4.39540850345, mean 3.2962962963,
UserID 14660, TagginSession 17, STD 9.34387277725, mean 6.47058823529,
UserID 14681, TagginSession 3, STD 7.34846922835, mean 13.0,
UserID 14911, TagginSession 24, STD 21.9993686778, mean 17.1666666667,
UserID 15061, TagginSession 5, STD 2.78567765544, mean 5.8,
UserID 15250, TagginSession 22, STD 15.6659339844, mean 6.18181818182,
UserID 15780, TagginSession 2, STD 18.5, mean 19.5,
UserID 15793, TagginSession 19, STD 4.54646677221, mean 3.47368421053,
UserID 15846, TagginSession 6, STD 14.893137868, mean 15.1666666667,
UserID 15851, TagginSession 2, STD 8.0, mean 17.0,
UserID 15926, TagginSession 3, STD 14.6135401445, mean 12.3333333333,
UserID 16048, TagginSession 7, STD 43.4638014998, mean 19.5714285714,
UserID 16149, TagginSession 4, STD 3.0, mean 4.0,
UserID 16235, TagginSession 2, STD 34.0, mean 37.0,
UserID 16389, TagginSession 2, STD 3.0, mean 6.0,
UserID 16592, TagginSession 23, STD 21.1158475324, mean 23.652173913,
UserID 16758, TagginSession 8, STD 9.98670991869, mean 7.375,
UserID 16890, TagginSession 2, STD 25.5, mean 70.5,
UserID 16930, TagginSession 4, STD 2.04633819297, mean 4.25,
UserID 16987, TagginSession 6, STD 35.4667293233, mean 42.6666666667,
